firmware_build,module,ffs_guid,sha256,size_bytes,role
O5FKT17A,RklComp,748EA80F-96B4-4315-A277-28ACED336830,f8f55d0f8fe6bb829576d2cb1ef004ce9f2ea1c74e1848c4deb59745310da6c2,304496,decisive MRC consumer and final sink
O5FKT17A,SiInitPreMemFsp,5F7F9DF9-F1D8-455A-B96D-C7C0A72623DC,ae73895423c89dd1e84bee461520eb61bcaf472d6b4ac1b8982170fd88a65cc5,101792,policy constructor
O5FKT17A,FspInitPreMem,9E1CC850-6731-4848-8752-6673C7005EEE,0c3349c4f268020fb20c762d6af06c008061d3369f2c59c40128cb0653da5977,15488,visible FSP policy patcher
O5FKT17A,PlatformInitPreMem,EEEE611D-F78F-4FB9-B868-55907F169280,13096a35147cb6d4dd38cf17b03babcdcacd8c9216716633b2d7bcd1ac66c031,41224,visible Lenovo policy patcher
O5FKT17A,FspmWrapperPeim,9FAAD0FF-0E0C-4885-A738-BAB4E4FA1E66,484bd42ee0a2c744ea1df1908df5ace1f61a1ea67b7cabe081ade2fc171ab449,1312,FSP-M wrapper
